Internship_ID,Domain,Student_ID,University,Year_of_Study,Program,Application_Date,Status,Participation,Clicks_on_Internship
374,AR/VR,S0129,Oxford,4th Year,MBA,2025-05-10,Accepted,Yes,10
167,AR/VR,S0130,Stanford,1st Year,B.Sc,2025-05-11,Accepted,No,17
316,UI/UX Design,S0131,MIT,3rd Year,M.Sc,2025-05-12,Accepted,No,49
680,UI/UX Design,S0132,Stanford,1st Year,M.Sc,2025-05-13,Pending,Yes,38
997,Web Development,S0133,Berkeley,1st Year,MBA,2025-05-14,Accepted,No,49
835,IoT,S0134,IIT Delhi,3rd Year,B.Sc,2025-05-15,Rejected,Yes,8
422,Data Science,S0135,Harvard,2nd Year,B.Tech,2025-05-16,Pending,Yes,47
317,IoT,S0136,Stanford,1st Year,B.Tech,2025-05-17,Pending,No,11
771,IoT,S0137,Cambridge,2nd Year,M.Tech,2025-05-18,Rejected,Yes,24
611,Cloud Computing,S0138,Stanford,4th Year,B.Sc,2025-05-19,Rejected,No,27
505,Cloud Computing,S0139,MIT,2nd Year,M.Tech,2025-05-20,Rejected,Yes,43
758,AR/VR,S0140,IIT Delhi,3rd Year,B.Tech,2025-05-21,Rejected,No,22
569,AI/ML,S0141,MIT,3rd Year,B.Sc,2025-05-22,Pending,No,10
246,UI/UX Design,S0142,Harvard,4th Year,M.Tech,2025-05-23,Rejected,Yes,16
371,Embedded Systems,S0143,NTU,2nd Year,MBA,2025-05-24,Rejected,Yes,31
242,Data Science,S0144,IIT Bombay,1st Year,MBA,2025-05-25,Rejected,No,14
352,Cloud Computing,S0145,IIT Bombay,4th Year,M.Sc,2025-05-26,Pending,No,17
862,IoT,S0146,IIT Delhi,3rd Year,B.Tech,2025-05-27,Rejected,Yes,7
674,IoT,S0147,MIT,2nd Year,B.Tech,2025-05-28,Rejected,Yes,22
651,AI/ML,S0148,IIT Bombay,3rd Year,M.Tech,2025-05-29,Accepted,Yes,42
369,AI/ML,S0149,IIT Bombay,1st Year,M.Tech,2025-05-30,Rejected,No,45
864,UI/UX Design,S0150,Harvard,4th Year,M.Sc,2025-05-31,Pending,Yes,5
698,Cloud Computing,S0151,Cambridge,4th Year,M.Tech,2025-06-01,Rejected,No,30
538,Data Science,S0152,Berkeley,3rd Year,M.Sc,2025-06-02,Rejected,No,46
697,Data Science,S0153,Harvard,4th Year,B.Sc,2025-06-03,Pending,No,32
508,AR/VR,S0154,Oxford,2nd Year,MBA,2025-06-04,Accepted,No,49
470,AR/VR,S0155,Oxford,2nd Year,B.Sc,2025-06-05,Rejected,Yes,16
324,Embedded Systems,S0156,IIT Delhi,3rd Year,B.Sc,2025-06-06,Rejected,Yes,49
241,Blockchain,S0157,Harvard,3rd Year,M.Tech,2025-06-07,Accepted,Yes,17
621,IoT,S0158,MIT,4th Year,MBA,2025-06-08,Accepted,No,22
605,AR/VR,S0159,NTU,3rd Year,M.Tech,2025-06-09,Rejected,No,19
193,Embedded Systems,S0160,NTU,2nd Year,M.Sc,2025-06-10,Pending,Yes,45
873,AI/ML,S0161,NTU,1st Year,MBA,2025-06-11,Rejected,No,29
148,IoT,S0162,Berkeley,2nd Year,MBA,2025-06-12,Pending,No,22
981,AR/VR,S0163,Oxford,4th Year,M.Tech,2025-06-13,Accepted,Yes,29
212,Cybersecurity,S0164,IIT Delhi,3rd Year,B.Tech,2025-06-14,Accepted,Yes,45
256,UI/UX Design,S0165,IIT Bombay,3rd Year,B.Sc,2025-06-15,Pending,No,17
742,AR/VR,S0166,NUS,3rd Year,MBA,2025-06-16,Accepted,Yes,37
263,IoT,S0167,IIT Delhi,4th Year,M.Tech,2025-06-17,Pending,No,18
911,Embedded Systems,S0168,MIT,1st Year,B.Sc,2025-06-18,Rejected,No,39
796,Web Development,S0169,Stanford,4th Year,B.Sc,2025-06-19,Pending,Yes,3
532,AI/ML,S0170,Oxford,2nd Year,M.Sc,2025-06-20,Accepted,Yes,49
710,IoT,S0171,IIT Bombay,1st Year,M.Tech,2025-06-21,Rejected,No,9
165,Data Science,S0172,Harvard,3rd Year,B.Tech,2025-06-22,Rejected,Yes,10
494,UI/UX Design,S0173,IIT Bombay,2nd Year,B.Tech,2025-06-23,Pending,Yes,34
490,Data Science,S0174,Berkeley,3rd Year,M.Sc,2025-06-24,Pending,No,19
710,Embedded Systems,S0175,NUS,1st Year,M.Sc,2025-06-25,Pending,No,2
579,Web Development,S0176,Berkeley,4th Year,M.Tech,2025-06-26,Rejected,Yes,15
641,AI/ML,S0177,NUS,2nd Year,B.Tech,2025-06-27,Pending,No,24
357,Cybersecurity,S0178,MIT,4th Year,B.Sc,2025-06-28,Rejected,Yes,37
666,IoT,S0179,IIT Bombay,2nd Year,M.Tech,2025-06-29,Pending,Yes,24
981,IoT,S0180,Cambridge,3rd Year,MBA,2025-06-30,Accepted,No,46
111,Embedded Systems,S0181,IIT Delhi,3rd Year,M.Tech,2025-07-01,Accepted,Yes,19
796,Embedded Systems,S0182,NUS,4th Year,B.Tech,2025-07-02,Pending,Yes,20
838,AR/VR,S0183,IIT Delhi,3rd Year,B.Sc,2025-07-03,Rejected,No,46
217,Web Development,S0184,Cambridge,1st Year,M.Sc,2025-07-04,Accepted,Yes,11
798,UI/UX Design,S0185,NTU,1st Year,B.Sc,2025-07-05,Pending,No,37
649,UI/UX Design,S0186,NUS,1st Year,M.Sc,2025-07-06,Rejected,No,41
868,Cloud Computing,S0187,Cambridge,1st Year,MBA,2025-07-07,Accepted,No,20
373,Blockchain,S0188,IIT Bombay,2nd Year,M.Tech,2025-07-08,Pending,No,31
887,Blockchain,S0189,Oxford,2nd Year,B.Tech,2025-07-09,Rejected,No,46
756,UI/UX Design,S0190,Harvard,1st Year,MBA,2025-07-10,Pending,No,29
448,AR/VR,S0191,MIT,2nd Year,M.Tech,2025-07-11,Rejected,Yes,44
214,AI/ML,S0192,Cambridge,1st Year,M.Sc,2025-07-12,Accepted,No,19
400,UI/UX Design,S0193,NTU,4th Year,B.Tech,2025-07-13,Pending,No,10
545,Data Science,S0194,Berkeley,2nd Year,B.Tech,2025-07-14,Rejected,Yes,48
261,UI/UX Design,S0195,MIT,1st Year,M.Sc,2025-07-15,Rejected,No,45
564,Data Science,S0196,Oxford,1st Year,B.Sc,2025-07-16,Pending,No,9
103,Embedded Systems,S0197,MIT,4th Year,B.Sc,2025-07-17,Pending,No,10
839,Blockchain,S0198,IIT Delhi,4th Year,B.Sc,2025-07-18,Accepted,No,39
996,Cloud Computing,S0199,NUS,3rd Year,B.Tech,2025-07-19,Rejected,Yes,19
836,Cloud Computing,S0200,Cambridge,1st Year,M.Tech,2025-07-20,Rejected,No,25
369,AR/VR,S0201,NTU,3rd Year,M.Tech,2025-07-21,Rejected,Yes,17
612,Web Development,S0202,Berkeley,2nd Year,M.Tech,2025-07-22,Pending,Yes,41
880,UI/UX Design,S0203,Harvard,1st Year,MBA,2025-07-23,Pending,Yes,15
282,Data Science,S0204,Stanford,1st Year,MBA,2025-07-24,Accepted,Yes,2
619,AR/VR,S0205,Berkeley,2nd Year,B.Sc,2025-07-25,Pending,Yes,14
208,Web Development,S0206,Berkeley,4th Year,B.Sc,2025-07-26,Rejected,Yes,38
991,UI/UX Design,S0207,Oxford,1st Year,M.Tech,2025-07-27,Rejected,Yes,20
740,Cloud Computing,S0208,NUS,4th Year,B.Sc,2025-07-28,Pending,No,10
405,Blockchain,S0209,MIT,1st Year,M.Tech,2025-07-29,Accepted,No,38
961,Web Development,S0210,Berkeley,3rd Year,M.Sc,2025-07-30,Pending,Yes,1
754,AR/VR,S0211,NTU,4th Year,M.Tech,2025-07-31,Accepted,Yes,17
619,Data Science,S0212,IIT Bombay,3rd Year,MBA,2025-08-01,Pending,Yes,24
723,Cloud Computing,S0213,Cambridge,1st Year,M.Tech,2025-08-02,Pending,Yes,47
303,Embedded Systems,S0214,Harvard,3rd Year,B.Sc,2025-08-03,Pending,No,33
256,Blockchain,S0215,Harvard,1st Year,M.Tech,2025-08-04,Pending,Yes,48
482,UI/UX Design,S0216,Berkeley,1st Year,B.Sc,2025-08-05,Accepted,Yes,34
880,Web Development,S0217,NTU,3rd Year,M.Tech,2025-08-06,Accepted,No,26
265,Embedded Systems,S0218,Cambridge,1st Year,B.Tech,2025-08-07,Rejected,Yes,31
652,Data Science,S0219,Cambridge,2nd Year,MBA,2025-08-08,Accepted,Yes,40
897,Blockchain,S0220,NTU,1st Year,MBA,2025-08-09,Rejected,Yes,11
643,Embedded Systems,S0221,MIT,1st Year,M.Tech,2025-08-10,Pending,No,23
100,UI/UX Design,S0222,Cambridge,2nd Year,M.Sc,2025-08-11,Pending,Yes,42
713,AI/ML,S0223,NTU,4th Year,B.Sc,2025-08-12,Rejected,No,10
431,UI/UX Design,S0224,NTU,2nd Year,M.Tech,2025-08-13,Accepted,No,38
600,Cloud Computing,S0225,Harvard,2nd Year,MBA,2025-08-14,Rejected,No,33
119,Web Development,S0226,NTU,2nd Year,M.Sc,2025-08-15,Accepted,No,21
214,Cybersecurity,S0227,Berkeley,2nd Year,B.Sc,2025-08-16,Rejected,Yes,34
471,UI/UX Design,S0228,IIT Delhi,4th Year,B.Tech,2025-08-17,Pending,Yes,24
999,IoT,S0229,NUS,1st Year,B.Tech,2025-08-18,Pending,No,25
951,Cybersecurity,S0230,Oxford,3rd Year,B.Sc,2025-08-19,Accepted,Yes,32
926,Cybersecurity,S0231,Harvard,4th Year,M.Tech,2025-08-20,Accepted,Yes,42
414,Web Development,S0232,IIT Delhi,4th Year,MBA,2025-08-21,Accepted,No,11
345,Web Development,S0233,MIT,1st Year,B.Sc,2025-08-22,Accepted,Yes,34
159,Data Science,S0234,Stanford,2nd Year,M.Tech,2025-08-23,Pending,No,31
346,Cloud Computing,S0235,MIT,2nd Year,B.Sc,2025-08-24,Pending,No,12
999,Data Science,S0236,Berkeley,4th Year,B.Sc,2025-08-25,Accepted,Yes,31
680,Embedded Systems,S0237,NTU,3rd Year,M.Sc,2025-08-26,Accepted,Yes,25
180,Embedded Systems,S0238,Berkeley,2nd Year,MBA,2025-08-27,Rejected,No,1
187,Embedded Systems,S0239,MIT,4th Year,B.Tech,2025-08-28,Pending,No,43
849,AI/ML,S0240,NUS,3rd Year,B.Tech,2025-08-29,Accepted,No,5
597,UI/UX Design,S0241,IIT Delhi,3rd Year,M.Sc,2025-08-30,Accepted,No,22
935,AR/VR,S0242,MIT,3rd Year,B.Tech,2025-08-31,Rejected,No,15
170,Web Development,S0243,Cambridge,3rd Year,B.Tech,2025-09-01,Rejected,Yes,20
878,AR/VR,S0244,NTU,4th Year,MBA,2025-09-02,Rejected,Yes,14
645,Blockchain,S0245,Berkeley,4th Year,M.Tech,2025-09-03,Accepted,No,15
884,Web Development,S0246,Harvard,3rd Year,B.Sc,2025-09-04,Pending,No,10
228,Web Development,S0247,Cambridge,2nd Year,MBA,2025-09-05,Rejected,Yes,18
231,Web Development,S0248,Harvard,2nd Year,M.Sc,2025-09-06,Pending,No,39
775,AR/VR,S0249,Cambridge,4th Year,M.Sc,2025-09-07,Rejected,Yes,50
586,Web Development,S0250,MIT,3rd Year,B.Tech,2025-09-08,Pending,Yes,47
662,IoT,S0251,MIT,3rd Year,B.Tech,2025-09-09,Accepted,Yes,8
269,AI/ML,S0252,Harvard,4th Year,MBA,2025-09-10,Pending,Yes,42
371,Blockchain,S0253,NTU,4th Year,M.Sc,2025-09-11,Accepted,No,13
640,UI/UX Design,S0254,Harvard,4th Year,M.Sc,2025-09-12,Pending,Yes,23
993,Cybersecurity,S0255,Stanford,1st Year,B.Sc,2025-09-13,Pending,Yes,32
721,IoT,S0256,NUS,1st Year,MBA,2025-09-14,Pending,Yes,30
533,AR/VR,S0257,Cambridge,3rd Year,B.Sc,2025-09-15,Rejected,Yes,37
316,Cloud Computing,S0258,Stanford,1st Year,MBA,2025-09-16,Accepted,No,41
652,IoT,S0259,Cambridge,2nd Year,M.Tech,2025-09-17,Pending,No,1
873,Cybersecurity,S0260,IIT Bombay,3rd Year,M.Sc,2025-09-18,Rejected,Yes,48
847,Embedded Systems,S0261,NTU,1st Year,B.Tech,2025-09-19,Accepted,No,34
806,Cybersecurity,S0262,Stanford,3rd Year,M.Sc,2025-09-20,Pending,Yes,15
305,Cloud Computing,S0263,Cambridge,2nd Year,M.Tech,2025-09-21,Pending,No,48
830,IoT,S0264,Oxford,2nd Year,MBA,2025-09-22,Accepted,Yes,13
419,Cybersecurity,S0265,Cambridge,3rd Year,M.Tech,2025-09-23,Pending,No,24
508,UI/UX Design,S0266,Harvard,1st Year,M.Sc,2025-09-24,Rejected,No,43
787,AR/VR,S0267,Harvard,3rd Year,B.Sc,2025-09-25,Rejected,No,3
765,IoT,S0268,IIT Bombay,2nd Year,MBA,2025-09-26,Pending,Yes,26
482,IoT,S0269,IIT Delhi,1st Year,B.Sc,2025-09-27,Pending,Yes,41
548,Cloud Computing,S0270,Cambridge,1st Year,M.Tech,2025-09-28,Pending,Yes,7
629,Blockchain,S0271,Harvard,4th Year,B.Tech,2025-09-29,Pending,Yes,22
562,Embedded Systems,S0272,NUS,3rd Year,MBA,2025-09-30,Rejected,No,33
223,Embedded Systems,S0273,NTU,2nd Year,M.Sc,2025-10-01,Pending,No,5
353,Blockchain,S0274,Cambridge,2nd Year,B.Sc,2025-10-02,Pending,No,18
330,Web Development,S0275,Berkeley,3rd Year,M.Tech,2025-10-03,Pending,Yes,36
165,Cybersecurity,S0276,NTU,3rd Year,MBA,2025-10-04,Rejected,No,35
446,AR/VR,S0277,Harvard,2nd Year,B.Tech,2025-10-05,Accepted,Yes,48
121,Web Development,S0278,IIT Bombay,2nd Year,MBA,2025-10-06,Accepted,Yes,35
702,Cloud Computing,S0279,Oxford,3rd Year,B.Tech,2025-10-07,Rejected,No,6
667,AI/ML,S0280,Oxford,3rd Year,M.Tech,2025-10-08,Accepted,No,4
335,IoT,S0281,Harvard,1st Year,B.Sc,2025-10-09,Rejected,Yes,29
702,UI/UX Design,S0282,Harvard,4th Year,MBA,2025-10-10,Accepted,No,37
325,Embedded Systems,S0283,MIT,2nd Year,MBA,2025-10-11,Accepted,Yes,34
107,Data Science,S0284,NTU,1st Year,B.Sc,2025-10-12,Accepted,Yes,16
172,Embedded Systems,S0285,IIT Bombay,3rd Year,MBA,2025-10-13,Rejected,No,16
824,Data Science,S0286,NTU,4th Year,MBA,2025-10-14,Pending,Yes,17
746,Cloud Computing,S0287,MIT,2nd Year,M.Sc,2025-10-15,Pending,Yes,48
160,Data Science,S0288,Harvard,4th Year,MBA,2025-10-16,Accepted,Yes,12
334,Web Development,S0289,NTU,1st Year,M.Sc,2025-10-17,Pending,Yes,45
169,Cloud Computing,S0290,Cambridge,3rd Year,MBA,2025-10-18,Accepted,No,42
132,IoT,S0291,NTU,1st Year,B.Sc,2025-10-19,Pending,Yes,16
980,Embedded Systems,S0292,Berkeley,4th Year,M.Tech,2025-10-20,Rejected,No,15
438,Web Development,S0293,NTU,1st Year,MBA,2025-10-21,Accepted,Yes,45
172,Blockchain,S0294,Stanford,1st Year,B.Sc,2025-10-22,Rejected,No,46
626,Data Science,S0295,IIT Delhi,3rd Year,M.Tech,2025-10-23,Rejected,No,30
343,Cybersecurity,S0296,Harvard,3rd Year,M.Sc,2025-10-24,Pending,No,12
385,IoT,S0297,Cambridge,4th Year,B.Sc,2025-10-25,Pending,No,3
785,UI/UX Design,S0298,Stanford,4th Year,B.Tech,2025-10-26,Accepted,Yes,39
597,AI/ML,S0299,Berkeley,1st Year,M.Tech,2025-10-27,Rejected,Yes,18
319,Blockchain,S0300,Cambridge,2nd Year,M.Tech,2025-10-28,Accepted,No,36
652,AI/ML,S0301,Cambridge,1st Year,B.Tech,2025-10-29,Pending,No,18
235,Blockchain,S0302,Harvard,4th Year,M.Tech,2025-10-30,Pending,Yes,6
840,Embedded Systems,S0303,Stanford,1st Year,M.Tech,2025-10-31,Accepted,Yes,48
684,UI/UX Design,S0304,Cambridge,3rd Year,B.Tech,2025-11-01,Rejected,No,13
